"YBK Jaiswal","caught",1
"S Nadeem","bowled",3
"GC Smith","caught",20
"SK Trivedi","run out",1
"SW Billings","run out",1
"MK Tiwary","run out",8
"SO Hetmyer","run out",1
"JC Buttler","caught and bowled",1
"DJG Sammy","run out",1
"SB Joshi","caught",1
"OA Shah","caught",5
"HH Pandya","bowled",4
"Washington Sundar","caught",9
"JR Hopes","lbw",2
"Kuldeep Yadav","lbw",1
"V Kohli","caught and bowled",3
"OA Shah","run out",3
"DB Ravi Teja","bowled",5
"Mandeep Singh","caught and bowled",1
"R Dravid","run out",6
"VR Aaron","bowled",1
"DT Christian","stumped",1
"SR Tendulkar","retired hurt",2
"S Sohal","lbw",2
"Abhishek Sharma","run out",1
"DJG Sammy","bowled",1
"DS Kulkarni","lbw",1
"Imran Tahir","run out",1
"UBT Chand","bowled",6
"C de Grandhomme","bowled",3
"M Rawat","caught and bowled",1
"RK Singh","caught",6
"I Sharma","bowled",2
"Rashid Khan","hit wicket",1
"V Kohli","lbw",7
"RV Uthappa","caught and bowled",5
"JR Hopes","run out",2
"MM Ali","run out",1
"JC Archer","lbw",1
"MG Johnson","caught",6
"Ishan Kishan","lbw",1
"MA Starc","run out",1
"AA Jhunjhunwala","bowled",2
"L Ronchi","caught",2
"UBT Chand","stumped",1
"KH Pandya","bowled",2
"SA Yadav","run out",3
"Q de Kock","caught and bowled",3
"JP Duminy","run out",4
"MJ McClenaghan","caught",6
"RS Bopara","lbw",3
"K Goel","run out",3
"CK Kapugedera","caught",3
"YS Chahal","run out",1
"HV Patel","run out",1
"IR Jaggi","caught",4
"NV Ojha","caught and bowled",1
"AS Raut","stumped",1
"NV Ojha","bowled",9
"HH Gibbs","stumped",2
"MM Sharma","bowled",3
"KL Rahul","run out",4
"SN Thakur","caught",3
"AB Dinda","caught",4
"M Kartik","caught",2
"Harbhajan Singh","retired hurt",2
"P Kumar","run out",6
"KH Pandya","lbw",1
"RA Tripathi","lbw",1
"S Badree","caught",1
"KM Jadhav","caught and bowled",2
"AP Tare","run out",2
"B Akhil","bowled",1
"P Kumar","caught and bowled",1
"AG Paunikar","bowled",1
"BJ Rohrer","caught",3
"J Syed Mohammad","caught",2
"SK Warne","stumped",3
"S Badrinath","caught and bowled",3
"Rashid Khan","caught",9
"Vishnu Vinod","caught",1
"S Kaushik","caught",1
"CJ Ferguson","run out",1
"AC Blizzard","caught",6
"Joginder Sharma","bowled",1
"Harbhajan Singh","run out",8
"DH Yagnik","caught and bowled",2
"RG Sharma","run out",20
"V Shankar","caught",19
"MM Patel","bowled",1
"SA Asnodkar","hit wicket",1
"AD Mascarenhas","run out",3
"KD Karthik","run out",17
"D du Preez","caught",1
"AM Rahane","bowled",18
"VH Zol","bowled",1
"M Morkel","caught",6
"Mohammad Asif","caught",1
"LA Pomersbach","run out",1
"PA Patel","run out",11
"YK Pathan","run out",12
"Ankit Sharma","caught",7
"KK Cooper","caught",7
"JC Archer","run out",1
"LMP Simmons","lbw",3
"Shivam Mavi","stumped",1
"RK Bhui","caught",2
"MEK Hussey","stumped",1
"Bipul Sharma","caught",4
"S Sohal","run out",1
"G Gambhir","stumped",2
"DJ Hussey","lbw",1
"KL Rahul","bowled",16
"KP Pietersen","caught",12
"M Manhas","caught and bowled",1
"CR Brathwaite","caught",9
"JP Faulkner","caught",18
"M Muralitharan","bowled",1
"BMAJ Mendis","caught and bowled",1
"Mohammed Shami","run out",1
"BB McCullum","run out",7
"MD Mishra","caught",7
"N Rana","bowled",4
"N Pooran","caught",14
"PV Tambe","caught",1
"Imran Tahir","caught",2
"AN Ahmed","bowled",1
"HH Pandya","lbw",3
"RN ten Doeschate","bowled",1
"N Rana","lbw",4
"HH Gibbs","bowled",7
"IK Pathan","run out",9
"UT Yadav","caught",5
"VRV Singh","caught",1
"AR Patel","caught",30
"DT Christian","caught",13
"RV Uthappa","caught",115
"SS Iyer","caught and bowled",2
"STR Binny","run out",4
"KS Williamson","lbw",2
"RV Gomez","run out",2
"AB Barath","caught",1
"C de Grandhomme","run out",1
"MN van Wyk","caught",2
"S Sohal","caught",12
"R Parag","caught",7
"PP Chawla","lbw",2
"STR Binny","caught",27
"Shoaib Ahmed","run out",1
"AN Ghosh","caught",2
"LA Pomersbach","bowled",4
"MK Lomror","caught",5
"AF Milne","caught",1
"PD Collingwood","lbw",1
"RJ Harris","caught",9
"MM Sharma","run out",2
"JP Duminy","caught",30
"BJ Hodge","caught",23
"Sunny Gupta","stumped",1
"R Parag","bowled",2
"DR Smith","bowled",18
"PP Ojha","caught",5
"PP Shaw","caught",24
"JD Unadkat","bowled",2
"DL Chahar","stumped",2
"BE Hendricks","bowled",1
"DPMD Jayawardene","caught",38
"CJ Anderson","lbw",1
"KAJ Roach","bowled",1
"AG Murtaza","stumped",1
"KP Appanna","run out",1
"Mohammed Shami","stumped",1
"CJ Ferguson","stumped",1
"JP Faulkner","caught and bowled",1
"MK Tiwary","lbw",7
"AD Mascarenhas","bowled",3
"DPMD Jayawardene","run out",8
"DJ Bravo","caught",42
"A Flintoff","caught",1
"MD Mishra","lbw",3
"GJ Bailey","caught",16
"DJ Hooda","run out",4
"BB Samantray","bowled",1
"RS Bopara","caught",13
"KC Sangakkara","caught",40
"Harbhajan Singh","caught",33
"Yashpal Singh","caught",4
"Kamran Khan","caught",1
"MK Pandey","caught and bowled",5
"MM Patel","run out",1
"ER Dwivedi","caught",2
"SD Lad","bowled",1
"AA Bilakhia","lbw",2
"AB de Villiers","caught and bowled",2
"YBK Jaiswal","bowled",1
"Anirudh Singh","bowled",1
"B Sumanth","bowled",1
"Umar Gul","run out",1
"A Symonds","bowled",7
"H Klaasen","bowled",1
"KMA Paul","caught",1
"SS Tiwary","run out",2
